orig_depth,orig_direction,orig_max,orig_mean,orig_median,orig_min,orig_origin,orig_size,orig_spacing,orig_std,path
506,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2105,-475.8122792979003,-687.0,-1024,"(-178.650390625, -341.650390625, -564.0)","(512, 512, 506)","(0.69921875, 0.69921875, 0.70001220703125)",486.88713038630766,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0637/01-01-2000-58715/1731-NLST TLC VOL B30F-19780
509,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2051,-946.1794858981209,-845.0,-3024,"(-180.0, -180.0, -310.3599853515625)","(512, 512, 509)","(0.703125, 0.703125, 0.625)",1161.6837427954188,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0831/01-01-2000-89224/30830-88362
283,"(-1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",3071,-991.7219074909763,-865.0,-3024,"(186.1999969482422, 130.1999969482422, -399.5)","(512, 512, 283)","(0.761719, 0.761719, 1.25)",1148.3648799229886,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0423/01-01-2000-CT GUIDED LUNG B-90447/2-22775
500,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1708,-533.907274597168,-840.0,-1024,"(-180.0, -158.6999969482422, -299.9949951171875)","(512, 512, 500)","(0.703125, 0.703125, 0.625)",489.97089372762593,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0292/01-01-2000-15530/30796-05732
121,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2144,-1008.8573549128761,-885.0,-3024,"(-158.0, -144.0, -310.94000244140625)","(512, 512, 121)","(0.5625, 0.5625, 2.5)",1137.3189262682722,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0571/01-01-2000-CT LUNG SCREEN-22867/40520
261,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2438,-949.2309476772031,-788.0,-3024,"(-168.10000610351562, -135.0, -342.5)","(512, 512, 261)","(0.585938, 0.585938, 1.25)",1154.406416897119,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0914/01-01-2000-CT LUNG SCREEN-72732/2-22350
115,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3335,-685.2050658516262,-146.0,-2048,"(-195.3125, -229.49209594726562, 1287.0)","(512, 512, 115)","(0.789, 0.789, 3.0)",810.7345888974376,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0550/01-01-2000-97204/5189-42208
474,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2047,-920.04394573099,-705.0,-3024,"(-167.8000030517578, -160.0, -251.51499938964844)","(512, 512, 474)","(0.625, 0.625, 0.625)",1166.9798068717334,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0940/01-01-2000-06837/30352-60596
503,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1897,-952.8231058367204,-853.0,-3024,"(-190.5, -197.8000030517578, -300.9200134277344)","(512, 512, 503)","(0.742188, 0.742188, 0.625)",1157.329163021348,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0386/01-01-2000-20656/30781-07261
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-824.1440219448922,-915.0,-2048,"(-196.0, -210.0, -384.0)","(512, 512, 133)","(0.820312, 0.820312, 2.5)",764.19410516808,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0035/01-01-2000-79332/3000582-98613
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16341,7946.864578062967,8848.0,0,"(0.0, 0.0, 0.0)","(1736, 2022, 2)","(1.0, 1.0, 1.0)",3345.799379540141,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0035/01-01-2000-62152/3000924-86237
179,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-929.5662412163931,-772.0,-3024,"(-175.5, -175.0, -337.4800109863281)","(512, 512, 179)","(0.683594, 0.683594, 2.0)",1162.6048318882542,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0652/01-01-2000-CHEST-12500/31192-ACRIN LARGE-18048
126,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-961.2333033122713,-844.0,-3024,"(-153.39999389648438, -170.0, -325.1199951171875)","(512, 512, 126)","(0.664062, 0.664062, 2.5)",1154.2431225461228,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0410/01-01-2000-CT LUNG SCREEN-90336/46543
441,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1876,-371.42708093725366,-121.0,-1024,"(-134.740234375, -271.740234375, -348.5)","(512, 512, 441)","(0.51953125, 0.51953125, 0.70001220703125)",473.6886777270576,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0318/01-01-2000-42928/1785-NLST TLC VOL B30F-26096
490,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1814,-903.7725270641093,-453.0,-3024,"(-127.5999984741211, -133.8000030517578, -333.625)","(512, 512, 490)","(0.546875, 0.546875, 0.625)",1170.5814638688562,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0837/01-01-2000-CT THORAX WO IV CONTRA-94397/32214-1.25 THROUGH LUNGS-51679
3,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16382,9019.885261138359,9406.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 3)","(1.0, 1.0, 1.0)",3927.674548810965,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0031/01-01-2000-24294/3000938-36565
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-703.5968361761337,-332.0,-2048,"(-220.0, -255.1999969482422, -379.0)","(512, 512, 133)","(0.859375, 0.859375, 2.5)",810.6924977471048,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0031/01-01-2000-70739/3000608-60568
179,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1650,-409.49871711091623,-149.0,-1024,"(-167.66796875, -328.66796875, -344.3999938964844)","(512, 512, 179)","(0.6640625, 0.6640625, 1.79998779296875)",475.9525881172096,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0563/01-01-2000-16695/3000053-03514
112,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1537,-868.5726966517312,-135.0,-3024,"(-157.3000030517578, -150.0, -217.92999267578125)","(512, 512, 112)","(0.585938, 0.585938, 2.0)",1180.893656343832,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0593/01-01-2000-CHEST-90592/31174-02181
140,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-737.6628061294556,-828.0,-2048,"(-219.6999969482422, -200.0, -332.0)","(512, 512, 140)","(0.78125, 0.78125, 2.5)",816.5443661082281,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0160/01-01-2000-CT THORAX WCONTRAST-13678/3-Recon 2 CHEST-67838
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16320,7392.617003148355,8083.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3394.3900798920577,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0160/01-01-2000-CHEST PA  LATERAL-16912/29970-CHEST PA  LATERAL-67868
142,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2132,-1015.0622590024707,-902.0,-3024,"(-199.10000610351562, -196.5, -378.19000244140625)","(512, 512, 142)","(0.767578, 0.767578, 2.5)",1130.5541376328576,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0612/01-01-2000-CT LUNG SCREEN-93403/09530
167,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-420.8542813283955,-136.0,-1024,"(-162.66796875, -327.66796875, -338.79998779296875)","(512, 512, 167)","(0.6640625, 0.6640625, 1.79998779296875)",466.8319896329434,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0732/01-01-2000-16732/3000041-15660
272,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-369.2550468725317,-106.0,-1000,"(-184.0, -48.2291374206543, -585.7999877929688)","(512, 512, 272)","(0.67578125, 0.67578125, 1.0)",484.6960320645251,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0898/01-01-2000-64440/30046-49169
4,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16376,8091.382472941071,8682.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 4)","(1.0, 1.0, 1.0)",4260.297077648264,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0126/01-01-2000-42927/3000982-30443
137,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-832.0223569382716,-940.0,-2048,"(-213.5, -195.5, -367.75)","(512, 512, 137)","(0.78125, 0.78125, 2.5)",776.9938940225043,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0126/01-01-2000-94320/3000639-58130
376,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-368.2267159908376,-120.0,-1024,"(-120.76953125, -252.76953125, -316.5)","(512, 512, 376)","(0.4609375, 0.4609375, 0.70001220703125)",460.7092218172092,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0487/01-01-2000-57724/4155-NLST TLC VOL B30F-21227
278,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2452,-1015.2386419309987,-908.0,-3024,"(-177.39999389648438, -180.0, -341.0)","(512, 512, 278)","(0.703125, 0.703125, 1.25)",1140.1988764157459,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0483/01-01-2000-CT LUNG SCREEN-37152/2-34559
255,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-1021.0853881087958,-914.0,-3024,"(-169.0, -170.0, -328.3999938964844)","(512, 512, 255)","(0.664062, 0.664062, 1.25)",1132.25580259824,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0976/01-01-2000-CHEST-13592/30980-13746
347,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-475.1240977856199,-413.0,-1024,"(-151.6875, -347.6875, -308.6000061035156)","(512, 512, 347)","(0.625, 0.625, 1.0)",495.75146258167405,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0770/01-01-2000-02250/3000634-29556
446,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-375.476238866558,-124.0,-1024,"(-145.724609375, -273.724609375, 697.0)","(512, 512, 446)","(0.55078125, 0.55078125, 0.70001220703125)",460.8378220688277,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0821/01-01-2000-40989/1715-NLST TLC VOL B30F-45782
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",32767,17820.923945294613,19208.0,0,"(0.0, 0.0, 0.0)","(2540, 2442, 1)","(1.0, 1.0, 1.0)",7063.151481394111,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0025/01-01-2000-45655/3000710-36409
265,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-1096.945950374963,-970.0,-3024,"(-247.1999969482422, -241.5, -310.0)","(512, 512, 265)","(0.943359, 0.943359, 1.25)",1084.1906526505777,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0025/01-01-2000-94910/3000524-53557
128,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-788.3329357206821,-885.0,-2048,"(-194.5, -219.0, -355.25)","(512, 512, 128)","(0.742188, 0.742188, 2.5)",780.9387940198378,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0012/01-01-2000-50667/3000561-57842
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16360,6466.24663273722,7151.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(1.0, 1.0, 1.0)",3771.339918640537,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0012/01-01-2000-26735/3000975-50170
420,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1704,-916.7381115777152,-613.0,-3024,"(-166.0, -180.0, -249.9949951171875)","(512, 512, 420)","(0.703125, 0.703125, 0.625)",1162.7604324779218,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0731/01-01-2000-62365/30739-20669
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16350,7592.852851638885,8394.0,5,"(0.0, 0.0, 0.0)","(1736, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3557.496409369111,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0167/01-01-2000-CHEST PA  LATERAL-27321/37875-CHEST PA  LATERAL-99977
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-664.766231164,-132.0,-2048,"(-182.89999389648438, -170.0, -360.5)","(512, 512, 133)","(0.664062, 0.664062, 2.5)",814.5103107565761,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0167/01-01-2000-CT THORAX WCONTRAST-39127/2-CHEST-44656
195,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2252,-557.6203573764899,-888.0,-1024,"(-208.62890625, -331.62890625, -364.70001220703125)","(512, 512, 195)","(0.7421875, 0.7421875, 1.800018310546875)",479.7391082865732,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0768/01-01-2000-26794/3000046-98326
241,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2416,-923.8289354094826,-743.0,-3024,"(-161.89999389648438, -151.0, -303.25)","(512, 512, 241)","(0.589844, 0.589844, 1.25)",1167.81245581002,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0660/01-01-2000-CT CHEST O CONTR-71530/2-00418
114,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-303.0914312998454,-108.0,-1024,"(-169.69140625, -313.69140625, -390.0)","(512, 512, 114)","(0.6171875, 0.6171875, 3.0)",430.18751334090535,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0944/01-01-2000-10455/5452-ThoraxRoutine  3.0  B31s-77835
489,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-493.4551684841788,-793.0,-1024,"(-145.716796875, -268.716796875, -405.5)","(512, 512, 489)","(0.56640625, 0.56640625, 0.70001220703125)",484.63388974205066,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0538/01-01-2000-74496/1889-NLST TLC VOL B30F-13755
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",13510,6940.620666975828,7460.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3481.2836227360285,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0173/01-01-2000-CHEST 2 VIEW-33412/1736-CHEST 2 VIEW-52505
145,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-772.6869963021114,-865.0,-2048,"(-190.0, -190.0, -380.0)","(512, 512, 145)","(0.742188, 0.742188, 2.5)",798.7621387397124,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0173/01-01-2000-CT THORAX WCONTRAST-01973/3-Recon 2 CHEST-13394
129,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-489.1175479149634,-653.0,-1024,"(-194.634765625, -344.634765625, -416.5)","(512, 512, 129)","(0.73046875, 0.73046875, 3.0)",472.0586511217486,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0527/01-01-2000-75447/5485-ChestRoutine  3.0  B31f-48007
245,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1900,-1073.0083070404676,-922.0,-3024,"(-190.6999969482422, -187.0, -300.0)","(512, 512, 245)","(0.730469, 0.730469, 1.25)",1096.368219708529,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0057/01-01-2000-03262/3000514-56951
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",32767,16845.208915480835,17533.0,0,"(0.0, 0.0, 0.0)","(2516, 2756, 1)","(1.0, 1.0, 1.0)",7147.854930886023,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0057/01-01-2000-56292/3000895-04898
290,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-479.96839973186627,-817.0,-1000,"(-153.0945281982422, 29.464550018310547, -780.2000122070312)","(512, 512, 290)","(0.6484375, 0.6484375, 1.0)",516.0916675406039,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0624/01-01-2000-13780/30071-98594
132,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-960.5189211007321,-810.0,-3024,"(-149.89999389648438, -165.0, -334.1600036621094)","(512, 512, 132)","(0.644531, 0.644531, 2.5)",1154.714358580673,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0824/01-01-2000-CT LUNG SCREEN-40544/05509
127,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2070,-916.6067434896635,-729.0,-3024,"(-181.3000030517578, -174.0, -333.55999755859375)","(512, 512, 127)","(0.679688, 0.679688, 2.5)",1173.263471931942,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0603/01-01-2000-CT LUNG SCREEN-09505/94647
255,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2995,-928.2355156244016,-776.0,-3024,"(-155.3000030517578, -148.0, -335.5799865722656)","(512, 512, 255)","(0.625, 0.625, 1.25)",1176.9999022253346,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0828/01-01-2000-CT LUNG SCREEN-36047/97338
413,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1773,-917.3101163591657,-599.0,-3024,"(-160.8000030517578, -190.39999389648438, -285.8999938964844)","(512, 512, 413)","(0.703125, 0.703125, 0.625)",1162.4119290713506,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0639/01-01-2000-37261/30748-73080
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16327,8031.718823072926,8610.0,3,"(0.0, 0.0, 0.0)","(1736, 2022, 1)","(1.0, 1.0, 1.0)",2734.986608570879,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0216/01-01-2000-CHEST 2 VIEW-27924/1814-17972
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-792.721988448523,-907.0,-2048,"(-207.3000030517578, -190.0, -366.5)","(512, 512, 133)","(0.742188, 0.742188, 2.5)",802.6045627648771,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0216/01-01-2000-CT CHABDPELVIS-98419/5-47975
246,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2409,-970.767216922791,-846.0,-3024,"(-163.39999389648438, -158.0, -312.5)","(512, 512, 246)","(0.617188, 0.617188, 1.25)",1153.5104049533127,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0341/01-01-2000-CT CHEST WO CONTRAST-30157/2-52962
221,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-1002.3150212904986,-877.0,-3024,"(-147.89999389648438, -159.0, -268.0)","(512, 512, 221)","(0.621094, 0.621094, 1.25)",1138.9544930394559,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0988/01-01-2000-CT LUNG SCREEN-17460/2-91986
490,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2022,-949.2625962160072,-832.0,-3024,"(-163.39999389648438, -160.3000030517578, -319.3399963378906)","(512, 512, 490)","(0.644531, 0.644531, 0.625)",1156.1713210745518,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0384/01-01-2000-CHEST-72716/30918-Recon 2 ACRIN LARGE-65567
122,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1981,-896.9321946316078,-575.0,-3024,"(-144.39999389648438, -124.0, -332.5)","(512, 512, 122)","(0.523438, 0.523438, 2.5)",1177.1713363442204,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0329/01-01-2000-CT LUNG SCREEN-31015/41306
137,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-810.8832220369882,-949.0,-2048,"(-200.0, -200.0, -345.25)","(512, 512, 137)","(0.78125, 0.78125, 2.5)",784.5619051400067,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0033/01-01-2000-87807/3000546-83490
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16370,6342.486967907909,6853.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(1.0, 1.0, 1.0)",3846.2720793534163,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0033/01-01-2000-62529/3000919-55999
413,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1705,-885.7134280262501,-224.0,-3024,"(-150.39999389648438, -171.6999969482422, -258.885009765625)","(512, 512, 413)","(0.703125, 0.703125, 0.625)",1174.3795321537555,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0657/01-01-2000-72879/30702-29831
538,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1960,-957.7762932121532,-828.0,-3024,"(-174.3000030517578, -180.0, -288.5)","(512, 512, 538)","(0.703125, 0.703125, 0.625)",1154.6985993640988,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0448/01-01-2000-51374/30454-18032
